bar_index,tv_bar_time,tv_open,tv_high,tv_low,tv_close,tv_closedtrades_count,tv_position_size,tv_trade_no,tv_entry_bar_index,tv_exit_bar_index,tv_entry_price,tv_exit_price,tv_size,tv_profit
173,1761226200,1761226200000,259.94,260.62,258.0101,259.58,0,0,,,,,,,
174,1761312600,1761312600000,261.19,264.13,259.18,262.82,0,0,,,,,,,
175,1761571800,1761571800000,264.88,269.12,264.6501,268.81,0,0,,,,,,,
176,1761658200,1761658200000,268.985,269.89,268.15,269,0,0,,,,,,,
177,1761744600,1761744600000,269.275,271.41,267.11,269.7,0,0,,,,,,,
178,1761831000,1761831000000,271.99,274.14,268.48,271.4,0,0,,,,,,,
179,1761917400,1761917400000,276.99,277.32,269.16,270.37,0,0,,,,,,,
180,1762180200,1762180200000,270.42,270.85,266.25,269.05,0,0,,,,,,,
181,1762266600,1762266600000,268.325,271.486,267.615,270.04,0,0,,,,,,,
182,1762353000,1762353000000,268.61,271.7,266.93,270.14,0,0,,,,,,,
183,1762439400,1762439400000,267.89,273.4,267.89,269.77,0,0,,,,,,,
184,1762525800,1762525800000,269.795,272.29,266.77,268.47,0,0,,,,,,,
185,1762785000,1762785000000,268.96,273.73,267.455,269.43,0,0,,,,,,,
186,1762871400,1762871400000,269.81,275.91,269.8,275.25,0,0,,,,,,,
187,1762957800,1762957800000,275,275.73,271.7,273.47,0,0,,,,,,,
188,1763044200,1763044200000,274.11,276.699,272.09,272.95,0,0,,,,,,,
189,1763130600,1763130600000,271.05,275.96,269.6,272.41,0,0,,,,,,,
190,1763389800,1763389800000,268.815,270.49,265.73,267.46,0,0,,,,,,,
191,1763476200,1763476200000,269.99,270.71,265.32,267.44,0,0,,,,,,,
192,1763562600,1763562600000,265.525,272.21,265.5,268.56,0,0,,,,,,,
193,1763649000,1763649000000,270.83,275.43,265.92,266.25,0,0,,,,,,,
194,1763735400,1763735400000,265.95,273.33,265.67,271.49,0,0,,,,,,,
195,1763994600,1763994600000,270.9,277,270.9,275.92,0,0,,,,,,,
196,1764081000,1764081000000,275.27,280.38,275.25,276.97,0,0,,,,,,,
197,1764167400,1764167400000,276.96,279.53,276.63,277.55,0,0,,,,,,,
198,1764340200,1764340200000,277.26,279,275.9865,278.85,0,0,,,,,,,
199,1764599400,1764599400000,278.01,283.42,276.14,283.1,0,0,,,,,,,
200,1764685800,1764685800000,283,287.4,282.6301,286.19,0,0,,,,,,,
201,1764772200,1764772200000,286.2,288.62,283.3,284.15,0,0,,,,,,,
202,1764858600,1764858600000,284.095,284.73,278.59,280.7,0,0,,,,,,,
203,1764945000,1764945000000,280.54,281.14,278.05,278.78,0,0,,,,,,,
204,1765204200,1765204200000,278.13,279.6693,276.15,277.89,0,0,,,,,,,
205,1765290600,1765290600000,278.16,280.03,276.92,277.18,0,0,,,,,,,
206,1765377000,1765377000000,277.75,279.75,276.44,278.78,0,0,,,,,,,
207,1765463400,1765463400000,279.095,279.59,273.81,278.03,0,0,,,,,,,
208,1765549800,1765549800000,277.9,279.22,276.82,278.28,0,0,,,,,,,
209,1765809000,1765809000000,280.15,280.15,272.84,274.11,0,0,,,,,,,
210,1765895400,1765895400000,272.82,275.5,271.79,274.61,0,0,,,,,,,
211,1765981800,1765981800000,275.01,276.16,271.64,271.84,0,0,,,,,,,
212,1766068200,1766068200000,273.605,273.63,266.95,272.19,0,0,,,,,,,
213,1766154600,1766154600000,272.145,274.6,269.9,273.67,0,0,,,,,,,
214,1766413800,1766413800000,272.86,273.88,270.505,270.97,0,0,,,,,,,
215,1766500200,1766500200000,270.84,272.5,269.56,272.36,0,0,,,,,,,
216,1766586600,1766586600000,272.34,275.43,272.195,273.81,0,0,,,,,,,
217,1766759400,1766759400000,274.16,275.37,272.86,273.4,0,0,,,,,,,
218,1767018600,1767018600000,272.69,274.36,272.35,273.76,0,0,,,,,,,
219,1767105000,1767105000000,272.81,274.08,272.28,273.08,0,0,,,,,,,
220,1767191400,1767191400000,273.06,273.68,271.75,271.86,1,0,0,11348,11348,273.06,273.06,1,0
